Year,Month,Day,Hour,N_Room,N_Dinning Room,N_Gym,N_Therapy Room,N_Living Room,N_Terrace,N_TV Room
2024,5,1,0,60,0,0,0,0,0,0
2024,5,1,1,60,0,0,0,0,0,0
2024,5,1,2,60,0,0,0,0,0,0
2024,5,1,3,60,0,0,0,0,0,0
2024,5,1,4,60,0,0,0,0,0,0
2024,5,1,5,60,0,0,0,0,0,0
2024,5,1,6,60,0,0,0,0,0,0
2024,5,1,7,60,0,0,0,0,0,0
2024,5,1,8,60,0,0,0,0,0,0
2024,5,1,9,0,60,0,0,0,0,0
2024,5,1,10,60,0,0,0,0,0,0
2024,5,1,11,60,0,0,0,0,0,0
2024,5,1,12,15,45,0,0,0,0,0
2024,5,1,13,0,30,0,0,0,0,30
2024,5,1,14,0,0,0,0,15,0,45
2024,5,1,15,0,0,0,0,45,15,0
2024,5,1,16,0,30,30,0,0,0,0
2024,5,1,17,0,0,30,30,0,0,0
2024,5,1,18,0,0,0,60,0,0,0
2024,5,1,19,0,45,0,15,0,0,0
2024,5,1,20,30,30,0,0,0,0,0
2024,5,1,21,60,0,0,0,0,0,0
2024,5,1,22,60,0,0,0,0,0,0
2024,5,1,23,59,0,0,0,0,0,0
2024,5,2,0,60,0,0,0,0,0,0
2024,5,2,1,60,0,0,0,0,0,0
2024,5,2,2,60,0,0,0,0,0,0
2024,5,2,3,60,0,0,0,0,0,0
2024,5,2,4,60,0,0,0,0,0,0
2024,5,2,5,60,0,0,0,0,0,0
2024,5,2,6,60,0,0,0,0,0,0
2024,5,2,7,60,0,0,0,0,0,0
2024,5,2,8,60,0,0,0,0,0,0
2024,5,2,9,0,60,0,0,0,0,0
2024,5,2,10,60,0,0,0,0,0,0
2024,5,2,11,60,0,0,0,0,0,0
2024,5,2,12,15,45,0,0,0,0,0
2024,5,2,13,0,30,30,0,0,0,0
2024,5,2,14,0,0,60,0,0,0,0
2024,5,2,15,0,0,0,0,0,60,0
2024,5,2,16,30,30,0,0,0,0,0
2024,5,2,17,60,0,0,0,0,0,0
2024,5,2,18,15,0,0,45,0,0,0
2024,5,2,19,0,45,0,15,0,0,0
2024,5,2,20,30,30,0,0,0,0,0
2024,5,2,21,60,0,0,0,0,0,0
2024,5,2,22,60,0,0,0,0,0,0
2024,5,2,23,59,0,0,0,0,0,0
2024,5,3,0,60,0,0,0,0,0,0
2024,5,3,1,60,0,0,0,0,0,0
2024,5,3,2,60,0,0,0,0,0,0
2024,5,3,3,60,0,0,0,0,0,0
2024,5,3,4,60,0,0,0,0,0,0
2024,5,3,5,60,0,0,0,0,0,0
2024,5,3,6,60,0,0,0,0,0,0
2024,5,3,7,60,0,0,0,0,0,0
2024,5,3,8,60,0,0,0,0,0,0
2024,5,3,9,0,60,0,0,0,0,0
2024,5,3,10,60,0,0,0,0,0,0
2024,5,3,11,60,0,0,0,0,0,0
2024,5,3,12,15,45,0,0,0,0,0
2024,5,3,13,0,30,0,0,30,0,0
2024,5,3,14,0,0,0,0,45,15,0
2024,5,3,15,0,0,15,0,0,45,0
2024,5,3,16,0,30,0,30,0,0,0
2024,5,3,17,0,0,0,30,0,0,30
2024,5,3,18,60,0,0,0,0,0,0
2024,5,3,19,15,45,0,0,0,0,0
2024,5,3,20,30,30,0,0,0,0,0
2024,5,3,21,60,0,0,0,0,0,0
2024,5,3,22,60,0,0,0,0,0,0
2024,5,3,23,59,0,0,0,0,0,0
2024,5,4,0,60,0,0,0,0,0,0
2024,5,4,1,60,0,0,0,0,0,0
2024,5,4,2,60,0,0,0,0,0,0
2024,5,4,3,60,0,0,0,0,0,0
2024,5,4,4,60,0,0,0,0,0,0
2024,5,4,5,60,0,0,0,0,0,0
2024,5,4,6,60,0,0,0,0,0,0
2024,5,4,7,60,0,0,0,0,0,0
2024,5,4,8,60,0,0,0,0,0,0
2024,5,4,9,0,60,0,0,0,0,0
2024,5,4,10,0,0,60,0,0,0,0
2024,5,4,11,0,0,45,15,0,0,0
2024,5,4,12,0,45,0,15,0,0,0
2024,5,4,13,30,30,0,0,0,0,0
2024,5,4,14,60,0,0,0,0,0,0
2024,5,4,15,0,0,0,0,30,0,30
2024,5,4,16,30,30,0,0,0,0,0
2024,5,4,17,60,0,0,0,0,0,0
2024,5,4,18,30,0,0,0,0,30,0
2024,5,4,19,0,45,0,0,0,15,0
2024,5,4,20,30,30,0,0,0,0,0
2024,5,4,21,60,0,0,0,0,0,0
2024,5,4,22,60,0,0,0,0,0,0
2024,5,4,23,59,0,0,0,0,0,0
2024,5,5,0,60,0,0,0,0,0,0
2024,5,5,1,60,0,0,0,0,0,0
2024,5,5,2,60,0,0,0,0,0,0
2024,5,5,3,60,0,0,0,0,0,0
2024,5,5,4,60,0,0,0,0,0,0
2024,5,5,5,60,0,0,0,0,0,0
2024,5,5,6,60,0,0,0,0,0,0
2024,5,5,7,60,0,0,0,0,0,0
2024,5,5,8,60,0,0,0,0,0,0
2024,5,5,9,0,60,0,0,0,0,0
2024,5,5,10,0,0,60,0,0,0,0
2024,5,5,11,0,0,0,60,0,0,0
